id,question,image,option_a,option_b,option_c,option_d,correct_answer,explanation
8728,"To safely unload a bus, students should:",,Remain seated until they are told to exit.,Stand up and head toward the door while the bus is slowing down.,Exit the bus and stand directly next to the bus while it is being driven away from the stop.,,A,"Students who are about to unload a school bus should remain seated until the driver tells them that it is safe to exit. After exiting the bus, they should walk to a position that is at least 10 feet away from the bus so the driver can clearly see them."
8733,"As students exit a school bus, the driver should watch to ensure that they:",,Are leaving in pairs.,Do not get caught on the handrail or door.,Do not talk while exiting.,,B,"It is possible for students to be injured, or even killed, as a result of their clothing, accessories, or bodies getting caught on a handrail or door while exiting a school bus. The driver should closely watch students as they exit to ensure that they have all unloaded the bus successfully and have reached a safe location."
9294,Fueling a bus while passengers are on board is:,,Acceptable only at night.,Acceptable only on trips of more than 100 miles.,Acceptable only if doing so is unavoidable.,,C,"A bus should not be refueled while passengers are on board unless it is absolutely necessary to do so. In particular, a bus with riders on board should never be refueled inside an enclosed building."
8622,"When stopped at a railroad crossing, one way for a bus driver to hear if a train is approaching is by:",,Opening the emergency window.,Opening the forward door.,Waiting for the passengers on the bus to quiet down on their own.,,B,"When approaching a railroad crossing, buses should stop between 15 and 50 feet from the nearest track and the driver should look both ways for a train. They should open the forward door if it improves their ability to see or hear an oncoming train."
11343,"When driving a school bus, mirrors should be adjusted:",,During the drive.,Before beginning to drive.,By the students.,,B,You should always check the adjustment of all your mirrors before operating a school bus.
9488,The inside rearview mirror is used to:,,See passengers.,See potential hazards on the road.,See vehicles trying to switch lanes.,,A,The overhead inside rearview mirror in a school bus is used to monitor passenger activity inside the bus.
9888,Emergency roof hatches on a bus:,,Must be closed before the bus is driven.,Can be opened to allow for air movement during a drive.,Must be removed before the bus is driven.,,B,"On a bus, it is permissible to lock some emergency roof hatches in an open position to allow in fresh air. However, this should not be a regular practice."
8617,A posted speed limit for cars:,,Is usually safe for buses.,May be too fast for buses.,May be too slow for buses.,,B,"Particularly on curves, the maximum posted speed limit may be safe to be driven in a car but too fast to be driven in a bus. Be especially careful when the road has been made slippery by rain or snow."
11551,"While passengers are on board a bus, refueling the bus in an enclosed space, allowing the bus to be towed, and conversing with the passengers are considered to be:",,Encouraged practices.,Acceptable practices.,Prohibited practices.,,C,"Bus drivers should not engage in conversation with passengers, fuel a bus inside an enclosed building, or tow or push a disabled bus with riders aboard the vehicle. These are all considered to be prohibited practices."
8744,ABS helps you:,,Lock up your wheels.,Keep your wheels from locking up.,Count the number of students boarding the bus.,,B,The function of an Anti-Lock Braking System (ABS) is to prevent a vehicle's wheels from locking up when the driver brakes hard on a slippery surface.
8721,Where is the overhead inside rearview mirror located?,,Above the windshield on the driver’s side of the bus,Above the door across from the driver,Above the emergency door in the rear,,A,The overhead inside rearview mirror of a school bus should be mounted directly above the windshield on the driver’s side of the vehicle. It should be used to monitor passenger activity inside the bus.
